moduleCode,moduleName,examCode,examLink
BY1101,BY1101: INTRODUCTION TO MOLECULAR AND    CELLULAR BIO,BY1101-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY1101-2.PDF
BY1102,BIOLOGY (MCQ) - not available,BY1102-2,
BY1P02,BIOLOGY (PHARMACY),BY1P02-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY1P02-2.PDF
BY1R01,BIOLOGY,BY1R01-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY1R01-2.PDF
BY2201,CELL STRUCTURE AND FUNCTION,BY2201-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2201-2.PDF
BY2202,VERTEBRATE FORM AND FUNCTION,BY2202-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2202-2.PDF
BY2203,METABOLISM,BY2203-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2203-2.PDF
BY2204,EVOLUTION,BY2204-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2204-2.PDF
BY2205,MICROBIOLOGY,BY2205-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2205-2.PDF
BY2206,ECOSYSTEM BIOLOGY AND GLOBAL CHANGE,BY2206-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2206-2.PDF
BY2207,BEHAVIOUR,BY2207-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2207-2.PDF
BY2208,GENETICS,BY2208-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2208-2.PDF
BY2209,INFECTION AND IMMUNITY,BY2209-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2209-2.PDF
BY2210,AGRICULTURE ENVIRONMENT AND BIOTECHNOLOGY,BY2210-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2210-2.PDF
CE1E09,1E9 ENGINEERING DESIGN I: GRAPHICS AND CAE,CE1E09-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE1E09-1.PDF
CE2E04,2E4 SOLIDS AND STRUCTURES (MCQ) - not available,CE2E04-1,
CE3A1,3A1 ENGINEERING SURVEYING,CE3A1-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A1-1.PDF
CE3A2,3A2 STRUCTURAL DESIGN,CE3A2-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A2-1.PDF
CE3A3,3A3 HYDRAULICS,CE3A3-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A3-1.PDF
CE3A4,3A4 STRUCTURAL ANALYSIS,CE3A4-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A4-1.PDF
CE3A5,3A5 SOIL MECHANICS,CE3A5-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A5-1.PDF
CE3A7,3A7 TRANSPORTATION AND HIGHWAY ENGINEERING,CE3A7-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A7-1.PDF
CE3A8,3A8 GEOLOGY FOR ENGINEERS,CE3A8-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A8-1.PDF
CE3E4,INNOVATION AND ENTREPRENEURSHIP FOR ENGINEERS,CE3E4-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3E4-1.PDF
