moduleCode,moduleName,examCode,examLink,year
BU4550,ADVANCES IN MARKETING THEORY AND PRACTICE,X-BU4550-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4550-1.PDF,2018
BU455C,ADVANCES IN MARKETING THEORY AND PRACTICE,X-BU4550-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4550-1.PDF,2018
BU4580,MANAGING NEW PRODUCT DEVELOPMENT,X-BU4580-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/X-BU4580-1.PDF,2018
BU4580A,MANAGING NEW PRODUCT DEVELOPMENT,X-BU4580-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/X-BU4580-1.PDF,2018
BU458C,MANAGING NEW PRODUCT DEVELOPMENT,X-BU4580-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/X-BU4580-1.PDF,2018
BU4621,SOCIAL INNOVATION AND SOCIAL IMPACT,X-BU4621-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/X-BU4621-1.PDF,2018
BU4621C,SOCIAL INNOVATION AND SOCIAL IMPACT,X-BU4621-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/X-BU4621-1.PDF,2018
BU4640,DERIVATIVES AND INTERNATIONAL FINANCE,X-BU4640-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4640-1.PDF,2018
BU464C,DERIVATIVES AND INTERNATIONAL FINANCE,X-BU4640-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/X/X-BU4640-1.PDF,2018
BU7008,OPERATIONS STRATEGY,BU7008-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7008-1.PDF,2018
BU7012,STRATEGIC MANAGEMENT,BU7012-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7012-1.PDF,2018
BU7015,FINANCIAL STATEMENT ANALYSIS,BU7015-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7015-1.PDF,2018
BU7040,ORGANISATIONAL BEHAVIOUR DESIGN,BU7040-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7040-1.PDF,2018
BU7060,STRATEGIC MANAGEMENT,BU7060-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7060-1.PDF,2018
BU7065,OPERATIONS STRATEGY,BU7065-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7065-1.PDF,2018
BU7066,FINANCIAL STATEMENT ANALYSIS,BU7066-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7066-1.PDF,2018
BU7117,FINANCIAL REPORTING,BU7117-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7117-1.PDF,2018
BU7118,ADVANCED FINANCIAL MANAGEMENT,BU7118-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7118-1.PDF,2018
BU7119,PERFORMANCE MEASUREMENT,BU7119-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7119-1.PDF,2018
BU7120,ADVANCED TAXATION,BU7120-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7120-1.PDF,2018
BU7121,CORPORATE GOVERNANCE AND ETHICS,BU7121-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7121-1.PDF,2018
BU7122,FORENSIC ACCOUNTING,BU7122-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7122-1.PDF,2018
BU7211,INTERNATIONAL MARKETING STRATEGY,BU7211-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7211-1.PDF,2018
BU7310,FINANCIAL MARKETS AND INSTITUTIONS,BU7310-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7310-1.PDF,2018
BU7312,MARKET RISK,BU7312-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7312-1.PDF,2018
BU7313,FINANCIAL MODELLING AND SCENARIO ANALYSIS,BU7313-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7313-1.PDF,2018
BU7316,PANEL AND CROSS SECTIONAL DATA     ANALYSIS,BU7316-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7316-1.PDF,2018
BU7317,OPERATIONAL RISK,BU7317-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7317-1.PDF,2018
BU7318,ENTERPRISE RISK MANAGEMENT,BU7318-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7318-1%20edited.pdf,2018
BU7319,RISK QUANTIFICATION AND MEASUREMENT,BU7319-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7319-1.PDF,2018
BU7324,SELECTED READINGS IN FINANCIAL RISK MANAGEMENT,BU7324-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7324-1.PDF,2018
BU7502,INTERNATIONAL FINANCE,BU7502-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7502-1.PDF,2018
BU7505,INVESTMENT THEORY,BU7505-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7505-1%20edited.pdf,2018
BU7506,CORPORATE FINANCE,BU7506-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7506-1.PDF,2018
BU7508,DERIVATIVES,BU7508-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7508-1.PDF,2018
BU7511,ALTERNATIVE INVESTMENTS,BU7511-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7511-1.PDF,2018
BU7516,ADVANCED STATEMENT ANALYSIS,BU7516-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7516-1.PDF,2018
BU7522,CREDIT AND FIXED INCOME ANALYSIS,BU7522-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7522-1%20edited.pdf,2018
BU7524,TREASURY MANAGEMENT,BU7524-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7524-1.PDF,2018
BU7525,VENTURE CAPITAL,BU7525-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7525-1.PDF,2018
BU7526,PORTFOLIO AND WEALTH MANAGEMENT,BU7526-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7526-1.PDF,2018
BU7533,APPLIED INVESTMENT MANAGEMENT & TRADING,BU7533-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7533-1.PDF,2018
BU7534,MANAGING GOVERNMENT FINANCE,BU7534-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7534-1.PDF,2018
BU7535,ENERGY FINANCE AND TRADING,BU7535-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7535-1.PDF,2018
BU7538,PRIVATE EQUITY,BU7538-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7538-1%20edited.pdf,2018
BU7545,INTERNATIONAL NGOs,BU7545-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7545-1.PDF,2018
BU7551,POLICY ISSUES IN THE INTERNATIONAL ECONOMIC SYSTEM,BU7551-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7551-1.PDF,2018
BU7554,GLOBAL SUPPLY CHAIN MANAGEMENT,BU7554-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7554-1.PDF,2018
BU7559,SOCIAL INVESTMENT: THE INTERNATIONAL CONTEXT,BU7559-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7559-1.PDF,2018
BU7567,NEGOTIATION THEORY,BU7567-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7567-1.PDF,2018
BU7568,GOVERNANCE INTERNATIONAL TAX AND MNES,BU7568-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7568-1.PDF,2018
BU7573,OPERATIONS MANAGEMENT,BU7573-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7573-1.PDF,2018
BU7575,STRATEGIC MANAGEMENT,BU7575-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7575-1.PDF,2018
BU7578,FINANCIAL MANAGEMENT,BU7578-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7578-1.PDF,2018
BU7583,STRATEGY AND INFORMATION TECHNOLOGY,BU7583-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7583-1.PDF,2018
BU7584,LEADING CHANGE IN A COMPLEX WORLD,BU7584-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BU/BU7584-1.PDF,2018
BY1101,BY1101: INTRODUCTION TO MOLECULAR AND    CELLULAR BIO,BY1101-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY1101-2.PDF,2018
BY1102,BIOLOGY (MCQ) - not available,BY1102-2,,2018
BY1P02,BIOLOGY (PHARMACY),BY1P02-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY1P02-2.PDF,2018
BY1R01,BIOLOGY,BY1R01-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY1R01-2.PDF,2018
BY2201,CELL STRUCTURE AND FUNCTION,BY2201-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2201-2.PDF,2018
BY2202,VERTEBRATE FORM AND FUNCTION,BY2202-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2202-2.PDF,2018
BY2203,METABOLISM,BY2203-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2203-2.PDF,2018
BY2204,EVOLUTION,BY2204-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2204-2.PDF,2018
BY2205,MICROBIOLOGY,BY2205-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2205-2.PDF,2018
BY2206,ECOSYSTEM BIOLOGY AND GLOBAL CHANGE,BY2206-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2206-2.PDF,2018
BY2207,BEHAVIOUR,BY2207-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2207-2.PDF,2018
BY2208,GENETICS,BY2208-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2208-2.PDF,2018
BY2209,INFECTION AND IMMUNITY,BY2209-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2209-2.PDF,2018
BY2210,AGRICULTURE ENVIRONMENT AND BIOTECHNOLOGY,BY2210-2,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/BY/BY2210-2.PDF,2018
CE1E09,1E9 ENGINEERING DESIGN I: GRAPHICS AND CAE,CE1E09-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE1E09-1.PDF,2018
CE2E04,2E4 SOLIDS AND STRUCTURES (MCQ) - not available,CE2E04-1,,2018
CE3A1,3A1 ENGINEERING SURVEYING,CE3A1-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A1-1.PDF,2018
CE3A2,3A2 STRUCTURAL DESIGN,CE3A2-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A2-1.PDF,2018
CE3A3,3A3 HYDRAULICS,CE3A3-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A3-1.PDF,2018
CE3A4,3A4 STRUCTURAL ANALYSIS,CE3A4-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A4-1.PDF,2018
CE3A5,3A5 SOIL MECHANICS,CE3A5-1,https://www.tcd.ie/academicregistry/exams/assets/local/past-papers2018/CE/CE3A5-1.PDF,2018
